Country,accessibility_to_cities,elevation,slope,isothermality,rain_mean_annual,temp_annual_range,wind,cloudiness
Russia,2143.587912,448.5335417,0.486310126,19.35171376,434.7292352,50.63119081,3.013605722,210.9908165
United States of America,638.7575393,759.2512262,0.529686762,32.95288154,671.9117326,39.05379633,3.586281662,180.2746387
Canada,3220.715175,508.2847633,0.397220485,19.86286345,453.3184227,45.96372379,3.378885862,231.4987023
Indonesia,504.8848072,342.0536882,0.909755385,84.94240233,2728.355157,10.00434575,1.366647907,293.0951072
China,466.566902,1788.508668,0.943246708,30.94554584,561.2715803,39.91131351,3.241690663,191.2446609
India,91.38082383,583.1465274,0.520001904,44.10012236,1110.010678,27.21371722,2.698925158,167.3099637
Australia,845.8680185,278.031714,0.089268073,49.69498141,467.5080881,28.09456395,4.151111283,126.814047
Mexico,191.3376166,1039.715495,1.03146858,58.67563951,771.5138685,25.93124079,2.74994688,152.8080061
Brazil,736.7297988,326.6430843,0.160652538,72.73447271,1752.792411,15.49870416,1.963016907,218.4850954
Chile,425.8785883,1095.077168,1.588154415,54.73443945,1047.308761,18.81186342,3.816059043,183.3299469
South Africa,141.5038538,1043.141954,0.447661291,54.47119206,480.0126204,27.63989279,3.4581928,116.5514301
Vietnam,99.7589702,401.03086,0.881312874,50.87305684,1788.884738,16.78846977,1.999043494,263.9387469
Saudi Arabia,652.2953047,641.3239896,0.176330129,44.27968012,94.62359731,31.32649358,3.728877097,72.83423467
Pakistan,264.4672567,1051.985154,1.030050677,39.41373565,262.7748794,35.88008413,2.976714228,121.050943
Afghanistan,317.7157523,1831.744397,1.515600142,35.90441697,311.3291432,40.26161137,3.432746579,114.2289826
Iran,264.2038416,1256.457706,1.206398202,38.03820241,213.1761424,37.3190406,3.173667225,108.6990401
Turkey,74.81476227,1112.032911,1.454611434,34.08318133,592.3943496,33.16223341,2.795238628,162.7635658
Uzbekistan,523.7900371,357.9727625,0.397815023,28.57270546,196.8237707,42.65918911,4.122328469,145.7008648
Kazakhstan,443.8329109,350.099453,0.185621604,23.65027056,251.4208112,47.09995147,4.457838501,178.722673
Japan,31.67775032,351.907962,1.11665529,25.69109568,1684.074472,32.63750576,2.801730927,243.8396258
French Polynesia,9274.709629,187.9063232,1.319379391,68.15876269,1785.603152,9.044332879,5.745105743,198.0262679
Colombia,1302.412834,555.4002246,0.85329858,81.12976809,2673.855758,11.72748109,1.432076882,283.8555351
Peru,1027.102283,1472.204748,1.388491607,78.3671053,1561.50841,15.95832405,1.806273649,237.8853637
Portugal,67.5440991,287.2909383,0.558974676,40.07268916,853.9934614,23.39189054,2.950941965,150.3510581
Spain,50.7522396,677.8865814,0.838064232,37.65351761,608.5692597,27.5676683,3.07863453,157.6625663
Morocco,122.8482695,865.9307738,0.926333227,43.14126601,317.0179049,31.59992925,3.009149451,114.7163515
Western Sahara,674.6129619,251.5360352,0.014442678,51.69823219,38.92484999,24.21442954,5.299204932,88.65574866
Burkina Faso,115.863687,302.308181,0.005361851,60.67141261,760.5410968,22.10615096,2.838656546,179.2996061
Ghana,111.7684195,178.7376596,0.076011158,68.49598353,1247.324509,15.12854641,2.103483113,226.7781038
Nigeria,71.87490841,325.1066464,0.136884238,62.38550202,1178.865428,19.96830424,2.360358523,215.2588468
Central African Republic,641.7017814,598.8563825,0.050319033,68.18387814,1370.818579,19.84075437,1.874747175,232.9623132
Cameroon,236.3700829,644.7877392,0.372539614,72.52839511,1658.456494,15.09928381,1.572129273,253.9292534
Niger,1310.854178,459.901761,0.038545236,51.80801395,137.9025497,29.4663514,3.973613961,97.50453286
Italy,34.91613596,512.1286918,1.387384954,30.94412531,820.7409628,25.77539158,2.648620802,180.2154438
Tunisia,199.6896395,258.9149633,0.299653393,38.80149417,229.2123383,32.10506271,4.053837793,108.1433595
Egypt,954.9943764,301.3547095,0.181041694,47.98018289,14.16166365,30.94329147,3.87529339,50.35722873
Jordan,323.3769902,763.2459355,0.495499717,42.96583255,105.0161126,32.43862177,3.794339174,75.20384239
Syria,125.6040405,521.2332574,0.348500315,39.01708541,248.0164225,35.37429107,3.834949049,97.4519902
Iraq,288.6228424,302.2031598,0.172732267,37.66641436,205.0727579,38.48146663,3.725304928,93.7536235
Eritrea,377.8881988,784.20485,1.036752751,63.08562335,353.0583442,21.49395403,3.090920724,124.3660544
South Sudan,336.583957,521.8058937,0.06837395,70.0691029,967.9805155,19.09028159,2.14426053,216.4341759
Uganda,126.0779246,1152.361031,0.365036439,80.82890714,1194.306112,14.8774834,1.786966623,243.254396
United Republic of Tanzania,264.9564604,1025.625982,0.501144524,68.70164156,976.2154128,15.88150829,2.346098589,194.8854801
Malawi,109.7700942,925.9167949,0.766269656,57.44849241,1071.260052,18.89717035,2.356043926,167.5018674
Zambia,225.2367696,1126.881278,0.185149305,56.98423452,1023.999592,24.38245429,2.579925928,161.4912803
Republic of the Congo,784.917105,420.1355076,0.10309328,76.35832769,1652.324335,12.69907298,1.458389408,272.8348147
Namibia,348.9447039,1083.725927,0.327853154,59.06147728,284.2193767,25.79147978,3.247668179,101.5140547
Botswana,386.9066591,1037.202122,0.006235179,55.61239805,395.662629,29.01835157,3.201352424,112.3620914
Zimbabwe,138.6263087,980.7205834,0.253010454,56.6239958,667.5590611,24.64898765,2.77145431,130.2209263
Thailand,114.0083334,279.3319752,0.514702642,56.71028517,1486.492648,18.96792813,2.013597444,238.1278189
Laos,332.6967108,654.6303959,0.99912648,53.61909039,1894.803173,19.61515473,1.459830587,227.7988883
Philippines,120.2060505,312.3749269,1.180484575,74.85619151,2558.66669,11.46660561,1.999443382,270.7356054
Kyrgyzstan,294.995392,2651.341747,2.698600976,26.8261421,423.9228488,41.30992151,2.795844935,197.0991025
Nepal,338.2014018,2123.311646,2.927130887,44.51657164,1362.14809,24.74214328,2.447196559,174.2159869
Yemen,566.1929055,924.2181081,0.68319709,54.55379805,112.9856446,22.00267323,3.515084832,92.36073291
Oman,292.5803109,274.7484345,0.300171344,46.81561481,59.26969981,23.41810307,3.90398327,70.32307337
Turkmenistan,446.7476197,210.1265566,0.1708769,31.18049733,166.0901739,40.70275235,4.227009783,125.3371991
Ukraine,58.48544543,178.859987,0.069417718,24.85954824,568.6954734,33.43563963,3.706255752,214.482655
Sweden,201.5159762,114.7617583,0.061497504,24.9476118,636.3329499,31.35314227,4.313964014,237.2764026
Poland,34.58226078,166.1035576,0.063749957,26.50618578,594.9793321,30.13964291,3.341481273,232.7632106
Romania,59.44506778,400.5558197,0.65603374,30.09469974,626.1659591,31.70243188,2.697950932,205.1908791
Germany,33.71007465,251.9257179,0.252723571,31.17250935,730.5254667,25.33952438,3.402345226,240.3689128
France,33.47989499,332.7033344,0.4876818,36.35683052,815.3169197,24.18465052,3.36922225,213.4126825
United Kingdom,39.08280933,154.9721136,0.432489756,35.28654165,967.5948301,19.31967437,4.479387797,248.1226878
North Korea,92.131492,595.3295677,1.107910702,26.08913156,1005.476962,42.18403594,2.647153376,187.3662867
Papua New Guinea,1195.376816,600.2419421,1.440334591,83.31107179,3058.065278,10.87368757,1.444354699,290.2883167
New Zealand,212.2931616,473.4105051,1.277507124,46.2822267,1654.20798,19.75640901,3.457694678,204.8887129
Venezuela,1480.298667,343.3442912,0.604648562,79.99424375,1944.437018,12.77331124,1.856682085,252.1061911
Guyana,1576.856868,218.3281045,0.234293262,79.56185926,2028.937408,10.89241397,1.67774556,244.3188714
Cuba,74.60241454,95.25826196,0.26400715,64.2460705,1331.358356,15.93012638,2.278429227,170.2082777
Bolivia,445.1294159,1290.020607,0.673776684,66.80037321,1148.542962,19.9670824,2.340412545,196.993405
Paraguay,367.8888256,165.7031156,0.027189037,56.28495087,1081.581002,21.64335169,2.62165028,177.7906776
South Georgia and South Sandwich Islands,6537.695715,457.7877979,2.800699078,45.39316702,1673.291124,13.50601919,7.203750325,287.2474058
Senegal,179.9246198,53.62559082,0.002811046,60.62363131,674.6602257,23.64406451,3.066587067,175.1651938
Guinea,125.7896233,433.6743452,0.295806004,62.64769886,1852.815932,22.30132458,1.806795424,214.8767689
Liberia,244.7298753,204.702246,0.049927262,76.85490725,2703.95707,14.2696455,1.419637779,247.8106864
Ivory Coast,121.8550943,259.8744097,0.024278668,69.50758011,1353.614021,15.2784673,1.886728619,225.0775
Togo,75.05412418,247.1485403,0.173134875,69.84487468,1191.760345,16.28504908,2.000121255,223.9970482
Benin,115.203185,267.0421453,0.038044014,66.17602167,1061.151815,18.64316632,2.105127204,212.7378608
Greece,53.24477354,441.9425317,1.619042356,34.51047033,705.5142656,28.74686407,2.547999651,165.8678124
Israel,44.86190738,287.3723511,0.923897757,44.34643573,295.9783221,25.70032064,2.969420578,88.5992533
Gabon,553.1859626,369.0344424,0.186369884,73.04117821,1860.299357,12.73863957,1.322218943,288.3330561
Cambodia,208.420768,120.8669724,0.248564525,59.74402955,1777.848036,15.16584909,2.10136841,261.0012052
Taiwan,62.51381382,814.6217189,2.419724198,43.05438817,2557.831732,17.05959834,3.260392844,243.0668054
South Korea,28.46618824,251.1542671,0.711137536,28.3471869,1316.575314,36.63694049,2.688840701,202.4961525
Bangladesh,33.64179307,29.93987766,0.032539246,43.39718171,2194.098538,21.97628587,2.450944208,193.4796635
Tajikistan,587.4750849,2962.817302,2.611243794,28.04317431,569.9543713,38.36652121,2.996939416,185.2862026
Sri Lanka,63.00514497,182.0564906,0.403258764,67.87155969,1882.36839,11.22670553,3.49490751,247.6070393
United Arab Emirates,213.1353314,110.5689798,0.071094043,45.01245867,72.32978443,26.80954117,3.869895145,69.47315825
Azerbaijan,86.63017198,640.067615,1.440853262,28.46190413,453.3004121,33.16762027,2.662134863,191.1589906
Georgia,154.3523516,1163.61322,2.255906059,33.9282195,973.1892826,30.8633565,2.513663489,216.0677498
Armenia,97.29451554,1850.48297,2.31889558,32.42358775,501.6587673,34.82842686,1.968252839,191.7616707
Bulgaria,89.12241274,467.4458679,0.974942029,30.8780721,609.9577203,30.76478929,2.724887574,191.3499384
Belarus,79.96755058,161.1527381,0.001425672,24.66369688,624.1477146,32.80024705,3.264417738,232.5725082
Latvia,76.04271789,89.87191936,0.008585396,23.13618764,662.0438429,29.78241997,3.605422622,235.9695824
Republic of Serbia,41.25593944,402.3217027,0.754326532,31.85132178,704.2093819,30.12970483,2.554396942,203.9960192
Croatia,42.84249698,302.7346371,0.81320264,31.15807452,989.7993826,28.84175799,2.778315422,202.5172202
Slovakia,44.64364635,460.9824197,0.920666014,30.42893616,753.1072432,30.63297437,2.697062205,223.3524689
Hungary,39.16305059,149.6459721,0.124568102,30.24824003,585.3626231,31.38885613,3.09811306,209.2470946
Austria,51.98273261,950.5300018,1.450009486,31.6412877,1049.228613,28.32866726,2.464692388,231.8576952
Czech Republic,29.95314563,453.474756,0.540671738,30.06045725,663.8282406,27.93825069,3.214086807,239.0239965
Switzerland,51.4387536,1306.401711,2.276436531,29.59000811,1338.427735,24.02751158,2.413838105,226.3158837
Fiji,306.6641134,174.9970266,0.795643174,63.50420224,2593.225886,9.803187782,3.175703111,224.392444
Solomon Islands,855.8028635,216.2973549,1.076349774,84.10490543,3178.808124,8.53620987,2.678977929,291.3286485
French Guiana,1767.909457,139.6945921,0.048612155,75.86460504,2690.906711,11.54935987,1.624861319,236.3070467
Suriname,1986.191932,161.9617666,0.108985456,77.29145292,2251.912337,11.43969729,1.575777984,236.5294878
Guatemala,178.5604595,732.0063584,1.363598306,68.12683099,1982.391176,14.78799784,1.726264425,219.5759577
Nicaragua,295.7828719,221.8445634,0.426387198,71.58983693,2289.551588,12.74711571,2.264465605,232.9953742
Honduras,288.2333484,625.6559278,1.38937971,67.49483009,1727.316593,15.26998261,1.925279141,226.7240393
Panama,282.3050848,299.6214774,1.086222969,76.72183416,2566.060966,10.97718779,1.831303975,271.1057008
Ecuador,418.5928682,1074.129068,1.483501622,83.88679155,2058.090786,11.61225517,1.591968975,283.2677106
Uruguay,146.2655957,110.6832461,0.026059595,46.92764539,1222.064688,24.18659019,3.942861886,162.7401298
Cape Verde,517.492194,331.0416535,1.778408459,55.90804765,246.3515304,10.40657909,5.97077458,183.7251569
Guinea Bissau,148.9474999,33.63809132,0,59.71054556,1656.587446,19.78004131,2.470166962,205.8074479
Gambia,106.1504198,25.5327257,0,60.85787179,792.0065891,23.08234232,2.710935042,192.1072828
Sierra Leone,115.6647391,198.3206162,0.159177997,66.29212063,2714.774506,16.04423204,1.616442266,236.73696
Albania,73.83085556,651.8155406,1.89007529,33.16941281,1151.097474,27.08154903,2.472693504,181.1311126
Montenegro,77.22907814,1033.036137,1.943118323,31.48645697,1266.377902,27.16748972,2.419002458,201.7292493
Kosovo,24.35409491,824.8129659,1.595959077,31.6129762,847.3503499,29.71483142,2.153968018,200.8100631
Macedonia,69.04754553,802.3358714,1.895540194,33.76605923,642.062617,30.68523936,2.195983124,187.9338111
Northern Cyprus,39.45327252,89.76909444,0.528399021,40.9380374,402.4425628,28.1370327,2.99759314,126.9902576
Cyprus,35.72680074,328.1184149,1.482844022,40.34821341,563.0425329,26.94125442,2.739476007,116.771612
Lebanon,38.07619697,949.7680368,2.886782145,37.00691326,826.0401421,26.23132734,2.97035751,126.9303162
Djibouti,231.9820214,480.6138044,1.233939035,46.95999302,180.4970397,20.04260807,3.668666904,139.4924966
Comoros,110.9826184,262.1399276,2.628709288,68.17742784,2115.120762,10.8169623,4.302230358,185.4180247
Burundi,39.17268404,1514.864442,0.951510393,75.5685994,1179.876143,14.88368883,2.052875048,254.9407547
Rwanda,58.2010836,1736.716146,1.004901225,85.28897563,1158.819444,13.04556751,1.83053101,267.6880372
Lesotho,139.3339882,2154.672672,1.457283017,52.06428554,742.6274399,25.93848569,2.776451097,128.5239426
Swaziland,57.9951164,729.1477628,0.917770142,58.63038698,906.5674376,20.64915602,2.171290695,169.9433304
East Timor,163.9555051,440.7234578,1.78459725,68.04501572,1729.861278,11.59417897,2.159211409,224.9098402
Bhutan,501.2831596,2860.925351,3.69839397,44.83827454,1509.813029,25.92724723,2.439829096,226.0796468
Kuwait,97.95751063,119.7246006,0.005223269,36.72549192,107.2171165,36.74100407,4.494017387,91.49197537
Moldova,59.49000025,143.1479716,0.11798471,26.94399133,555.5097929,32.66420907,3.578615824,204.5717215
Denmark,55.21571619,27.27314568,0,26.2894491,726.664688,23.17642778,4.689150577,239.0802897
Lithuania,52.24908502,103.2487388,0.004472962,25.42843526,661.9081118,29.96791484,3.586398669,234.1164869
Bosnia and Herzegovina,73.43442978,710.1879957,1.352818325,31.8293981,1035.95517,28.60093325,2.315268423,209.5248489
Slovenia,41.52405352,561.9787219,1.198477085,30.54271167,1173.159014,28.92357053,2.214353859,216.5455151
Belgium,14.38772865,143.4574939,0.095365979,33.25148145,850.2047242,22.43083394,3.876680127,237.9154036
Netherlands,10.96377983,8.319472995,0,32.27393961,782.3445803,21.71499537,4.399983413,240.9667441
Ireland,41.54690409,104.3758318,0.288890499,40.63892017,1071.963412,16.81098396,4.619187709,245.5596954
New Caledonia,174.1064252,189.8786797,0.91527308,53.77136971,1587.782907,13.47181065,3.457803196,196.330875
Vanuatu,2308.790989,249.5102553,1.2648814,67.90100424,2763.123939,9.327631674,3.788219148,244.8258563
The Bahamas,383.4712311,2.938472339,0,47.92999206,1174.598886,14.67745638,5.475842281,204.7166679
Dominican Republic,84.63166597,390.7448721,1.233995077,73.97827408,1374.256129,15.07701995,2.271360008,182.418162
Haiti,63.96397264,416.1622423,1.634559253,72.77854643,1541.271748,14.78871544,2.618714275,184.1308482
Jamaica,62.70307297,284.0791164,1.221781174,68.76120852,1865.560619,10.44267534,2.196614717,189.8086676
Belize,256.1572012,167.6667286,0.394369765,62.99189253,2061.002562,13.05662263,1.762979269,207.8546202
El Salvador,43.05423723,425.1313018,1.324855428,75.58885687,1834.018769,16.05228563,1.816505662,199.3710925
Costa Rica,151.2790482,540.9757455,1.701519475,77.26496337,2972.137701,12.796143,2.202033163,257.8548585
Falkland Islands,2110.742132,51.28239346,0.230231419,51.15360075,547.0217122,13.82424369,7.63466602,240.7326324
Sao Tome and Principe,167.0292977,336.2329635,2.089936609,70.4218084,2282.339094,9.678778307,3.465458135,290.0219245
Equatorial Guinea,215.354024,426.6107767,0.307758608,76.99419883,2213.812975,11.17532883,1.318612762,293.6055293
West Bank,20.17483025,377.7128354,1.804733338,44.76248331,403.0334924,25.88769036,2.68576369,88.98836196
Brunei,206.2610624,82.39176044,0.229437387,88.84150154,3437.401375,7.577514466,1.382166001,305.2357119
Siachen Glacier,2298.521197,5428.765033,2.868610944,27.24144054,74.02803198,39.90125925,3.411045018,248.2120039
Qatar,53.78464303,27.30329376,0,37.34846877,73.21445893,27.39261003,4.525723641,82.37060702
Samoa,206.5535043,434.7935493,2.364876385,79.86590616,3938.534873,6.895600798,5.95726422,235.7099993
Puerto Rico,25.70581405,215.4656522,1.063235235,74.09276944,1866.97198,13.65597467,2.325771886,183.6972372
Trinidad and Tobago,46.90521891,44.16040262,0.197292741,78.99762426,2060.409259,10.69878402,3.515222509,229.7875205
French Southern and Antarctic Lands,10897.46344,149.4766828,0.918428467,50.47170525,778.9989068,12.05349919,11.1876993,293.4774748
Gaza,8.607368421,43.23870968,0,42.11255045,269.0313562,21.87148528,3.708865722,125.1192512
Mauritius,17.60296465,224.8697438,1.245061608,54.39852958,1853.244102,13.06658234,4.723604554,155.0956532
Hong Kong S.A.R.,4.080684597,106.3182773,0.386554622,31.25246695,2106.183055,19.33945329,3.149489046,250.6910758
Luxembourg,15.3883393,371.0438855,0.126920648,32.30077385,892.8414676,23.32722881,3.529447046,241.4230149
Andorra,85.97163588,1937.494723,2.775065963,32.21309161,1247.053337,22.73829362,2.603284374,179.093247
Singapore,0.969004894,18.15942029,0,85.10689163,2401.83568,9.275178079,2.085953213,322.1853462
Isle of Man,211.4401154,137.4833127,1.10960033,36.16501132,1009.811322,17.61642543,8.120622635,252.7566955
Dominica,213.6629561,273.1185984,1.707816712,73.21283135,2735.193828,10.43419907,6.523897171,209.4217453
San Marino,13.96170213,285.612766,1.710638298,30.12446809,749.4960771,27.32952128,2.77596426,182.8279787
Liechtenstein,42.21247563,1025.146199,2.015594542,31.13654362,1178.206384,26.06056287,2.198319334,233.2920565
